,league,gamelength,result,k,d,a,fb,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardkills,wcpm,totalgold,earnedgpm,goldspent,gspd,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15
20,WC,24.28333333,0,3,14,3,1,0.12354152369999999,0.5765271104999999,0.7000686342,0,10.06926667,0,3,0,3,0,0,0,0,0,0,0,12.0803,0,13.8483,0,0,1,23780,979.2724777000001, , ,77,3.170899108,16,0.6588881263,37146,860.9444063,35225,-0.1234600786,120,0,32.20315717,15818,15604,214,23506,25903,-2397,18967,18470,497,338,311,27,507,487
21,WC,24.28333333,1,14,3,35,0,0.5765271104999999,0.12354152369999999,0.7000686342,1,10.06926667,3,0,3,0,2,1,0,0,0,0,1,12.0803,1,13.8483,1,1,0,39218,1615.017159, , ,83,3.417982155,31,1.276595745,48830,1342.0974609999998,39860,0.1234600786,99,9,31.95607412,15604,15818,-214,25903,23506,2397,18470,18967,-497,311,338,-27,487,507
22,WC,30.01666667,0,9,20,14,1,0.2998334259,0.6662965019,0.9661299278000001,0,11.89328333,0,3,0,3,0,0,0,0,0,0,1,12.44751667,1,14.00591667,0,0,1,33173,1105.152693, , ,109,3.631315936,38,1.2659633540000002,49979,1007.133815,47000,-0.061515935779999996,129,20,31.91560244,15982,16738,-756,25693,25293,400,18482,18042,440,321,291,30,525,474
23,WC,30.01666667,1,20,9,32,0,0.6662965019,0.2998334259,0.9661299278000001,1,11.89328333,3,0,3,0,1,0,1,1,0,0,0,12.44751667,0,14.00591667,1,1,0,46283,1541.91005, , ,105,3.498056635,44,1.465852304,57416,1254.8961689999999,49983,0.061515935779999996,112,5,31.01610217,16738,15982,756,25293,25693,-400,18042,18482,-440,291,321,-30,474,525
24,WC,33.66666667,0,8,18,19,0,0.2376237624,0.5346534653,0.7722772277,0,8.044116667,2,2,2,2,0,0,2,0,0,0,0,19.45746667,0,16.42945,0,0,1,55469,1647.594059, , ,112,3.326732673,49,1.455445545,54405,963.0594059,53100,0.01709401709,157,0,32.67326733,15184,15385,-201,23866,23493,373,18597,19721,-1124,352,303,49,540,462
25,WC,33.66666667,1,18,8,50,1,0.5346534653,0.2376237624,0.7722772277,1,8.044116667,2,2,2,2,1,0,1,0,0,0,1,19.45746667,1,16.42945,1,1,0,70825,2103.712871, , ,111,3.297029703,48,1.425742574,62953,1216.9603960000002,52200,-0.01709401709,150,0,30.14851485,15385,15184,201,23493,23866,-373,19721,18597,1124,303,352,-49,462,540
26,WC,41.16666667,0,10,16,14,0,0.2429149798,0.3886639676,0.6315789474,1,7.2705333329999995,4,2,4,1,2,1,0,1,0,1,0,12.22781667,1,14.37391667,0,0,1,58275,1415.587045, , ,154,3.740890688,63,1.530364372,67791,1001.2712550000001,65265,-0.0026013772,113,31,30.55870445,14740,15624,-884,24375,22833,1542,17863,18676,-813,319,313,6,503,481
27,WC,41.16666667,1,16,10,47,1,0.3886639676,0.2429149798,0.6315789474,0,7.2705333329999995,2,4,1,4,0,1,0,0,1,0,1,12.22781667,0,14.37391667,1,1,0,71024,1725.279352, , ,129,3.1336032389999997,73,1.7732793519999999,74178,1156.421053,65435,0.0026013772,172,8,30.65587045,15624,14740,884,22833,24375,-1542,18676,17863,813,313,319,-6,481,503
28,WC,63.41666667,1,21,16,46,1,0.3311432326,0.2522996058,0.5834428384,0,11.34453333,4,4,2,3,1,0,0,1,2,1,1,10.76528333,1,11.67108333,1,2,2,176971,2790.607096, , ,256,4.036793693,112,1.76609724,112687,1143.201051,112043,0.03685844267,270,19,29.78712221,16166,15208,958,26340,24455,1885,18994,18412,582,347,293,54,545,492
29,WC,63.41666667,0,16,21,40,0,0.2522996058,0.3311432326,0.5834428384,1,11.34453333,4,4,3,2,0,2,0,1,1,2,0,10.76528333,0,11.67108333,0,2,2,135843,2142.070959, , ,270,4.257555848,92,1.450722733,104047,1006.9592640000001,107988,-0.03685844267,237,12,26.44415243,15208,16166,-958,24455,26340,-1885,18412,18994,-582,293,347,-54,492,545
